Compression rate: 7.074071

Codebook: 
Centroid 1	 Index: 1		Value: 32.89547413793103
Point 19 	 Cluster index: 1		Value: 32.65
Point 20 	 Cluster index: 1		Value: 33.65
Point 21 	 Cluster index: 1		Value: 33.05
Point 22 	 Cluster index: 1		Value: 33.6
Point 23 	 Cluster index: 1		Value: 34.5
Point 24 	 Cluster index: 1		Value: 34.9
Point 25 	 Cluster index: 1		Value: 35.45
Point 26 	 Cluster index: 1		Value: 34.6
Point 27 	 Cluster index: 1		Value: 34.2
Point 28 	 Cluster index: 1		Value: 36.3
Point 29 	 Cluster index: 1		Value: 35.55
Point 30 	 Cluster index: 1		Value: 35.95
Point 31 	 Cluster index: 1		Value: 34.8
Point 32 	 Cluster index: 1		Value: 33.7
Point 33 	 Cluster index: 1		Value: 33.95
Point 34 	 Cluster index: 1		Value: 33.7
Point 35 	 Cluster index: 1		Value: 32.75
Point 36 	 Cluster index: 1		Value: 32.3
Point 37 	 Cluster index: 1		Value: 33.0
Point 38 	 Cluster index: 1		Value: 31.95
Point 39 	 Cluster index: 1		Value: 31.15
Point 40 	 Cluster index: 1		Value: 30.35
Point 41 	 Cluster index: 1		Value: 29.85
Point 42 	 Cluster index: 1		Value: 30.7
Point 43 	 Cluster index: 1		Value: 29.7
Point 44 	 Cluster index: 1		Value: 30.45
Point 45 	 Cluster index: 1		Value: 30.95
Point 46 	 Cluster index: 1		Value: 31.8
Point 47 	 Cluster index: 1		Value: 32.45
Point 48 	 Cluster index: 1		Value: 33.55
Point 49 	 Cluster index: 1		Value: 34.35
Point 50 	 Cluster index: 1		Value: 34.7
Point 51 	 Cluster index: 1		Value: 34.6
Point 52 	 Cluster index: 1		Value: 35.0
Point 53 	 Cluster index: 1		Value: 35.5
Point 54 	 Cluster index: 1		Value: 36.1
Point 55 	 Cluster index: 1		Value: 36.55
Point 56 	 Cluster index: 1		Value: 36.0
Point 57 	 Cluster index: 1		Value: 35.35
Point 58 	 Cluster index: 1		Value: 36.55
Point 59 	 Cluster index: 1		Value: 36.4
Point 60 	 Cluster index: 1		Value: 35.5
Point 61 	 Cluster index: 1		Value: 34.55
Point 62 	 Cluster index: 1		Value: 35.25
Point 63 	 Cluster index: 1		Value: 34.4
Point 64 	 Cluster index: 1		Value: 33.5
Point 65 	 Cluster index: 1		Value: 33.85
Point 66 	 Cluster index: 1		Value: 32.5
Point 67 	 Cluster index: 1		Value: 32.3
Point 68 	 Cluster index: 1		Value: 33.3
Point 69 	 Cluster index: 1		Value: 31.6
Point 70 	 Cluster index: 1		Value: 30.6
Point 71 	 Cluster index: 1		Value: 30.4
Point 72 	 Cluster index: 1		Value: 30.9
Point 73 	 Cluster index: 1		Value: 30.7
Point 74 	 Cluster index: 1		Value: 30.4
Point 75 	 Cluster index: 1		Value: 31.2
Point 76 	 Cluster index: 1		Value: 31.95
Point 77 	 Cluster index: 1		Value: 31.65
Point 78 	 Cluster index: 1		Value: 32.95
Point 79 	 Cluster index: 1		Value: 32.65
Point 80 	 Cluster index: 1		Value: 32.25
Point 81 	 Cluster index: 1		Value: 32.05
Point 82 	 Cluster index: 1		Value: 31.3
Point 83 	 Cluster index: 1		Value: 31.95
Point 84 	 Cluster index: 1		Value: 32.75
Point 85 	 Cluster index: 1		Value: 33.15
Point 86 	 Cluster index: 1		Value: 33.1
Point 87 	 Cluster index: 1		Value: 33.15
Point 88 	 Cluster index: 1		Value: 34.3
Point 89 	 Cluster index: 1		Value: 34.0
Point 90 	 Cluster index: 1		Value: 34.65
Point 91 	 Cluster index: 1		Value: 34.8
Point 92 	 Cluster index: 1		Value: 35.65
Point 93 	 Cluster index: 1		Value: 36.35
Point 94 	 Cluster index: 1		Value: 35.55
Point 95 	 Cluster index: 1		Value: 35.8
Point 96 	 Cluster index: 1		Value: 35.2
Point 97 	 Cluster index: 1		Value: 34.7
Point 98 	 Cluster index: 1		Value: 34.95
Point 99 	 Cluster index: 1		Value: 34.05
Point 100 	 Cluster index: 1		Value: 34.05
Point 101 	 Cluster index: 1		Value: 33.25
Point 102 	 Cluster index: 1		Value: 33.2
Point 103 	 Cluster index: 1		Value: 33.25
Point 104 	 Cluster index: 1		Value: 33.0
Point 105 	 Cluster index: 1		Value: 32.95
Point 106 	 Cluster index: 1		Value: 32.6
Point 107 	 Cluster index: 1		Value: 32.45
Point 108 	 Cluster index: 1		Value: 32.65
Point 109 	 Cluster index: 1		Value: 32.75
Point 110 	 Cluster index: 1		Value: 31.75
Point 111 	 Cluster index: 1		Value: 31.7
Point 112 	 Cluster index: 1		Value: 31.0
Point 113 	 Cluster index: 1		Value: 31.15
Point 114 	 Cluster index: 1		Value: 30.45
Point 115 	 Cluster index: 1		Value: 30.05
Point 116 	 Cluster index: 1		Value: 30.55
Point 117 	 Cluster index: 1		Value: 30.5
Point 118 	 Cluster index: 1		Value: 30.25
Point 119 	 Cluster index: 1		Value: 29.6
Point 120 	 Cluster index: 1		Value: 29.15
Point 121 	 Cluster index: 1		Value: 30.25
Point 122 	 Cluster index: 1		Value: 30.7
Point 123 	 Cluster index: 1		Value: 31.0
Point 124 	 Cluster index: 1		Value: 31.55
Point 125 	 Cluster index: 1		Value: 31.5
Point 126 	 Cluster index: 1		Value: 32.05
Point 127 	 Cluster index: 1		Value: 31.95
Point 128 	 Cluster index: 1		Value: 32.6
Point 129 	 Cluster index: 1		Value: 32.85
Point 130 	 Cluster index: 1		Value: 33.45
Point 131 	 Cluster index: 1		Value: 33.7
Point 132 	 Cluster index: 1		Value: 34.25
Point 133 	 Cluster index: 1		Value: 34.3
Point 134 	 Cluster index: 1		Value: 33.85
Point 135 	 Cluster index: 1		Value: 33.05
Point 136 	 Cluster index: 1		Value: 33.25
Point 137 	 Cluster index: 1		Value: 32.8
Point 138 	 Cluster index: 1		Value: 32.3
Point 139 	 Cluster index: 1		Value: 32.8
Point 140 	 Cluster index: 1		Value: 31.75
Point 141 	 Cluster index: 1		Value: 31.75
Point 142 	 Cluster index: 1		Value: 32.1
Point 143 	 Cluster index: 1		Value: 31.55
Point 144 	 Cluster index: 1		Value: 30.65
Point 145 	 Cluster index: 1		Value: 29.95
Point 146 	 Cluster index: 1		Value: 29.5
Point 147 	 Cluster index: 1		Value: 30.35
Point 148 	 Cluster index: 1		Value: 31.05
Point 149 	 Cluster index: 1		Value: 31.55
Point 150 	 Cluster index: 1		Value: 30.95
Point 151 	 Cluster index: 1		Value: 30.3
Point 152 	 Cluster index: 1		Value: 29.6
Point 153 	 Cluster index: 1		Value: 29.35
Point 154 	 Cluster index: 1		Value: 29.2
Point 155 	 Cluster index: 1		Value: 30.75
Point 156 	 Cluster index: 1		Value: 30.95
Point 157 	 Cluster index: 1		Value: 31.45
Point 158 	 Cluster index: 1		Value: 31.95
Point 159 	 Cluster index: 1		Value: 32.55
Point 160 	 Cluster index: 1		Value: 32.6
Point 161 	 Cluster index: 1		Value: 33.25
Point 162 	 Cluster index: 1		Value: 33.65
Point 163 	 Cluster index: 1		Value: 33.5
Point 164 	 Cluster index: 1		Value: 33.1
Point 165 	 Cluster index: 1		Value: 33.8
Point 166 	 Cluster index: 1		Value: 33.85
Point 167 	 Cluster index: 1		Value: 34.15
Point 168 	 Cluster index: 1		Value: 34.85
Point 169 	 Cluster index: 1		Value: 35.3
Point 170 	 Cluster index: 1		Value: 35.4
Point 171 	 Cluster index: 1		Value: 34.55
Point 172 	 Cluster index: 1		Value: 35.05
Point 173 	 Cluster index: 1		Value: 35.95
Point 174 	 Cluster index: 1		Value: 36.35
Point 175 	 Cluster index: 1		Value: 35.5
Point 176 	 Cluster index: 1		Value: 34.45
Point 177 	 Cluster index: 1		Value: 34.4
Point 178 	 Cluster index: 1		Value: 35.0
Point 179 	 Cluster index: 1		Value: 35.75
Point 180 	 Cluster index: 1		Value: 35.05
Point 181 	 Cluster index: 1		Value: 34.6
Point 182 	 Cluster index: 1		Value: 34.2
Point 183 	 Cluster index: 1		Value: 36.25
Point 184 	 Cluster index: 1		Value: 35.7
Point 185 	 Cluster index: 1		Value: 35.5
Point 186 	 Cluster index: 1		Value: 35.85
Point 187 	 Cluster index: 1		Value: 36.3
Point 188 	 Cluster index: 1		Value: 35.45
Point 189 	 Cluster index: 1		Value: 34.9
Point 190 	 Cluster index: 1		Value: 34.2
Point 191 	 Cluster index: 1		Value: 33.85
Point 192 	 Cluster index: 1		Value: 33.25
Point 193 	 Cluster index: 1		Value: 32.45
Point 194 	 Cluster index: 1		Value: 33.6
Point 195 	 Cluster index: 1		Value: 34.25
Point 196 	 Cluster index: 1		Value: 34.25
Point 197 	 Cluster index: 1		Value: 35.4
Point 198 	 Cluster index: 1		Value: 35.15
Point 199 	 Cluster index: 1		Value: 34.4
Point 200 	 Cluster index: 1		Value: 33.7
Point 201 	 Cluster index: 1		Value: 32.25
Point 202 	 Cluster index: 1		Value: 32.5
Point 203 	 Cluster index: 1		Value: 31.45
Point 204 	 Cluster index: 1		Value: 31.55
Point 205 	 Cluster index: 1		Value: 31.05
Point 206 	 Cluster index: 1		Value: 30.25
Point 207 	 Cluster index: 1		Value: 29.8
Point 208 	 Cluster index: 1		Value: 29.6
Point 209 	 Cluster index: 1		Value: 29.7
Point 210 	 Cluster index: 1		Value: 30.5
Point 211 	 Cluster index: 1		Value: 30.65
Point 212 	 Cluster index: 1		Value: 31.25
Point 213 	 Cluster index: 1		Value: 31.45
Point 214 	 Cluster index: 1		Value: 30.75
Point 215 	 Cluster index: 1		Value: 30.65
Point 216 	 Cluster index: 1		Value: 31.25
Point 217 	 Cluster index: 1		Value: 31.85
Point 218 	 Cluster index: 1		Value: 32.7
Point 219 	 Cluster index: 1		Value: 33.25
Point 220 	 Cluster index: 1		Value: 32.4
Point 221 	 Cluster index: 1		Value: 32.15
Point 222 	 Cluster index: 1		Value: 32.35
Point 223 	 Cluster index: 1		Value: 32.95
Point 224 	 Cluster index: 1		Value: 33.85
Point 225 	 Cluster index: 1		Value: 33.05
Point 226 	 Cluster index: 1		Value: 33.65
Point 227 	 Cluster index: 1		Value: 34.1
Point 228 	 Cluster index: 1		Value: 34.2
Point 229 	 Cluster index: 1		Value: 34.65
Point 230 	 Cluster index: 1		Value: 35.25
Point 231 	 Cluster index: 1		Value: 35.7
Point 232 	 Cluster index: 1		Value: 34.4
Point 233 	 Cluster index: 2		Value: 23.05
Point 234 	 Cluster index: 2		Value: 23.05
Point 235 	 Cluster index: 2		Value: 23.15
Point 236 	 Cluster index: 2		Value: 22.5
Point 237 	 Cluster index: 2		Value: 24.15
Point 238 	 Cluster index: 2		Value: 23.5
Point 239 	 Cluster index: 2		Value: 23.1
Point 240 	 Cluster index: 2		Value: 23.0
Point 241 	 Cluster index: 2		Value: 22.8
Point 242 	 Cluster index: 2		Value: 22.65
Point 243 	 Cluster index: 2		Value: 22.75
Point 244 	 Cluster index: 2		Value: 23.0
Point 245 	 Cluster index: 2		Value: 22.55
Point 246 	 Cluster index: 2		Value: 22.9
Point 247 	 Cluster index: 2		Value: 22.75
Point 248 	 Cluster index: 2		Value: 23.05
Point 249 	 Cluster index: 2		Value: 23.3
Point 250 	 Cluster index: 2		Value: 23.95
Point 251 	 Cluster index: 2		Value: 23.65
Point 252 	 Cluster index: 2		Value: 23.7
Point 253 	 Cluster index: 2		Value: 24.25
Point 254 	 Cluster index: 2		Value: 24.85
Point 255 	 Cluster index: 2		Value: 23.5
Point 256 	 Cluster index: 2		Value: 23.85
Point 257 	 Cluster index: 2		Value: 23.95
Point 258 	 Cluster index: 2		Value: 23.65
Point 259 	 Cluster index: 2		Value: 23.6
Point 260 	 Cluster index: 2		Value: 24.3
Point 261 	 Cluster index: 2		Value: 24.8
Point 262 	 Cluster index: 2		Value: 22.55
Point 263 	 Cluster index: 2		Value: 22.55
Point 264 	 Cluster index: 2		Value: 23.3
Point 265 	 Cluster index: 2		Value: 24.25
Point 266 	 Cluster index: 2		Value: 23.8
Point 267 	 Cluster index: 2		Value: 23.4
Point 268 	 Cluster index: 2		Value: 22.9
Point 269 	 Cluster index: 2		Value: 23.1
Point 270 	 Cluster index: 2		Value: 22.85
Point 271 	 Cluster index: 2		Value: 22.65
Point 272 	 Cluster index: 2		Value: 23.15
Point 273 	 Cluster index: 2		Value: 24.1
Point 274 	 Cluster index: 2		Value: 24.7
Point 275 	 Cluster index: 2		Value: 24.3
Point 276 	 Cluster index: 2		Value: 24.15
Point 277 	 Cluster index: 2		Value: 23.9
Point 278 	 Cluster index: 3		Value: 20.7
Point 279 	 Cluster index: 3		Value: 21.15
Point 280 	 Cluster index: 3		Value: 21.75
Point 281 	 Cluster index: 3		Value: 22.0
Point 282 	 Cluster index: 3		Value: 22.2
Point 283 	 Cluster index: 3		Value: 21.45
Point 284 	 Cluster index: 3		Value: 21.1
Point 285 	 Cluster index: 3		Value: 20.8
Point 286 	 Cluster index: 3		Value: 20.7
Point 287 	 Cluster index: 3		Value: 21.15
Point 288 	 Cluster index: 3		Value: 21.65
Point 289 	 Cluster index: 3		Value: 22.15
Point 290 	 Cluster index: 3		Value: 22.15
Point 291 	 Cluster index: 3		Value: 22.2
Point 292 	 Cluster index: 3		Value: 21.85
Point 293 	 Cluster index: 3		Value: 20.75
Point 294 	 Cluster index: 3		Value: 21.0
Point 295 	 Cluster index: 3		Value: 20.75
Point 296 	 Cluster index: 3		Value: 20.7
Point 297 	 Cluster index: 3		Value: 21.3
Point 298 	 Cluster index: 3		Value: 21.8
Point 299 	 Cluster index: 3		Value: 21.85
Point 300 	 Cluster index: 3		Value: 21.65
Point 301 	 Cluster index: 3		Value: 20.95
Point 302 	 Cluster index: 3		Value: 20.9
Point 303 	 Cluster index: 3		Value: 21.65
Point 304 	 Cluster index: 3		Value: 21.2
Point 305 	 Cluster index: 3		Value: 20.75
Point 306 	 Cluster index: 3		Value: 21.1
Point 307 	 Cluster index: 3		Value: 21.65
Point 308 	 Cluster index: 3		Value: 21.75
Point 309 	 Cluster index: 3		Value: 21.95
Point 310 	 Cluster index: 3		Value: 22.0
Point 311 	 Cluster index: 3		Value: 22.2
Point 312 	 Cluster index: 3		Value: 22.35
Point 313 	 Cluster index: 3		Value: 22.4
Point 314 	 Cluster index: 3		Value: 21.3
Point 315 	 Cluster index: 3		Value: 21.45
Point 316 	 Cluster index: 3		Value: 21.7
Point 317 	 Cluster index: 3		Value: 21.4
Point 318 	 Cluster index: 3		Value: 21.0
Point 319 	 Cluster index: 3		Value: 21.15
Point 320 	 Cluster index: 3		Value: 20.65
Point 321 	 Cluster index: 3		Value: 20.65
Point 322 	 Cluster index: 3		Value: 22.15
Point 323 	 Cluster index: 3		Value: 21.6
Point 324 	 Cluster index: 3		Value: 21.7
Point 325 	 Cluster index: 3		Value: 21.9
Point 326 	 Cluster index: 3		Value: 22.3
Point 327 	 Cluster index: 3		Value: 22.2
Point 328 	 Cluster index: 4		Value: 19.1
Point 329 	 Cluster index: 4		Value: 19.45
Point 330 	 Cluster index: 4		Value: 19.9
Point 331 	 Cluster index: 4		Value: 20.45
Point 332 	 Cluster index: 4		Value: 19.8
Point 333 	 Cluster index: 4		Value: 19.45
Point 334 	 Cluster index: 4		Value: 19.1
Point 335 	 Cluster index: 4		Value: 20.4
Point 336 	 Cluster index: 4		Value: 20.15
Point 337 	 Cluster index: 4		Value: 19.75
Point 338 	 Cluster index: 4		Value: 19.85
Point 339 	 Cluster index: 4		Value: 20.4
Point 340 	 Cluster index: 4		Value: 20.55
Point 341 	 Cluster index: 4		Value: 19.25
Point 342 	 Cluster index: 4		Value: 19.4
Point 343 	 Cluster index: 4		Value: 19.25
Point 344 	 Cluster index: 4		Value: 20.05
Point 345 	 Cluster index: 4		Value: 19.8
Point 346 	 Cluster index: 4		Value: 20.05
Point 347 	 Cluster index: 4		Value: 20.0
Point 348 	 Cluster index: 4		Value: 19.5
Point 349 	 Cluster index: 4		Value: 19.5
Point 350 	 Cluster index: 4		Value: 19.45
Point 351 	 Cluster index: 4		Value: 19.4
Point 352 	 Cluster index: 4		Value: 20.1
Point 353 	 Cluster index: 4		Value: 20.05
Point 354 	 Cluster index: 4		Value: 20.05
Point 355 	 Cluster index: 4		Value: 19.35
Point 356 	 Cluster index: 4		Value: 19.2
Point 357 	 Cluster index: 4		Value: 20.05
Point 358 	 Cluster index: 4		Value: 20.6
Point 359 	 Cluster index: 4		Value: 20.55
Point 360 	 Cluster index: 4		Value: 20.15
Point 361 	 Cluster index: 4		Value: 19.2
Point 362 	 Cluster index: 4		Value: 19.1
Point 363 	 Cluster index: 4		Value: 19.4
Point 364 	 Cluster index: 4		Value: 19.55
Point 365 	 Cluster index: 4		Value: 19.8
Point 366 	 Cluster index: 4		Value: 20.5
Point 367 	 Cluster index: 4		Value: 20.5
Point 368 	 Cluster index: 4		Value: 19.75
Point 369 	 Cluster index: 4		Value: 19.2
Point 370 	 Cluster index: 4		Value: 19.7
Point 371 	 Cluster index: 4		Value: 20.15
Point 372 	 Cluster index: 5		Value: 17.6
Point 373 	 Cluster index: 5		Value: 18.15
Point 374 	 Cluster index: 5		Value: 18.05
Point 375 	 Cluster index: 5		Value: 18.15
Point 376 	 Cluster index: 5		Value: 18.6
Point 377 	 Cluster index: 5		Value: 18.4
Point 378 	 Cluster index: 5		Value: 18.85
Point 379 	 Cluster index: 5		Value: 19.0
Point 380 	 Cluster index: 5		Value: 18.65
Point 381 	 Cluster index: 5		Value: 18.4
Point 382 	 Cluster index: 5		Value: 18.65
Point 383 	 Cluster index: 5		Value: 18.75
Point 384 	 Cluster index: 5		Value: 17.9
Point 385 	 Cluster index: 5		Value: 17.65
Point 386 	 Cluster index: 5		Value: 18.7
Point 387 	 Cluster index: 5		Value: 18.4
Point 388 	 Cluster index: 5		Value: 18.45
Point 389 	 Cluster index: 5		Value: 17.65
Point 390 	 Cluster index: 5		Value: 18.65
Point 391 	 Cluster index: 5		Value: 18.05
Point 392 	 Cluster index: 5		Value: 17.85
Point 393 	 Cluster index: 5		Value: 17.6
Point 394 	 Cluster index: 5		Value: 17.8
Point 395 	 Cluster index: 5		Value: 18.0
Point 396 	 Cluster index: 5		Value: 18.8
Point 397 	 Cluster index: 5		Value: 18.8
Point 398 	 Cluster index: 5		Value: 18.85
Point 399 	 Cluster index: 5		Value: 18.75
Point 400 	 Cluster index: 5		Value: 18.6
Point 401 	 Cluster index: 5		Value: 18.0
Point 402 	 Cluster index: 5		Value: 18.5
Point 403 	 Cluster index: 5		Value: 18.1
Point 404 	 Cluster index: 5		Value: 17.95
Point 405 	 Cluster index: 5		Value: 18.3
Point 406 	 Cluster index: 5		Value: 18.0
Point 407 	 Cluster index: 5		Value: 19.0
Point 408 	 Cluster index: 5		Value: 18.45
Point 409 	 Cluster index: 5		Value: 18.75
Point 410 	 Cluster index: 5		Value: 18.45
Point 411 	 Cluster index: 6		Value: 14.15
Point 412 	 Cluster index: 6		Value: 13.75
Point 413 	 Cluster index: 6		Value: 13.75
Point 414 	 Cluster index: 6		Value: 14.0
Point 415 	 Cluster index: 6		Value: 13.9
Point 416 	 Cluster index: 6		Value: 13.75
Point 417 	 Cluster index: 6		Value: 14.05
Point 418 	 Cluster index: 6		Value: 13.75
Point 419 	 Cluster index: 6		Value: 14.1
Point 420 	 Cluster index: 6		Value: 13.75
Point 421 	 Cluster index: 6		Value: 13.95
Point 422 	 Cluster index: 6		Value: 13.9
Point 423 	 Cluster index: 6		Value: 13.9
Point 424 	 Cluster index: 6		Value: 14.1
Point 425 	 Cluster index: 7		Value: 13.35
Point 426 	 Cluster index: 7		Value: 13.45
Point 427 	 Cluster index: 7		Value: 13.6
Point 428 	 Cluster index: 7		Value: 13.4
Point 429 	 Cluster index: 7		Value: 13.5
Point 430 	 Cluster index: 7		Value: 13.65
Point 431 	 Cluster index: 7		Value: 13.6
Point 432 	 Cluster index: 7		Value: 13.45
Point 433 	 Cluster index: 7		Value: 13.35
Point 434 	 Cluster index: 7		Value: 13.55
Point 435 	 Cluster index: 7		Value: 13.65
Point 436 	 Cluster index: 7		Value: 13.4
Point 437 	 Cluster index: 7		Value: 13.55
Point 438 	 Cluster index: 7		Value: 13.7
Point 439 	 Cluster index: 7		Value: 13.6
Point 440 	 Cluster index: 8		Value: 15.55
Point 441 	 Cluster index: 8		Value: 15.2
Point 442 	 Cluster index: 8		Value: 15.5
Point 443 	 Cluster index: 8		Value: 15.8
Point 444 	 Cluster index: 8		Value: 15.85
Point 445 	 Cluster index: 8		Value: 15.55
Point 446 	 Cluster index: 8		Value: 15.1
Point 447 	 Cluster index: 8		Value: 15.45
Point 448 	 Cluster index: 8		Value: 15.4
Point 449 	 Cluster index: 8		Value: 15.45
Point 450 	 Cluster index: 8		Value: 15.15
Point 451 	 Cluster index: 8		Value: 15.25
Point 452 	 Cluster index: 8		Value: 15.55
Point 453 	 Cluster index: 8		Value: 15.05
Point 454 	 Cluster index: 8		Value: 15.15
Point 455 	 Cluster index: 8		Value: 15.25
Point 456 	 Cluster index: 8		Value: 15.25
Point 457 	 Cluster index: 8		Value: 15.65
Point 458 	 Cluster index: 8		Value: 15.95
Point 459 	 Cluster index: 8		Value: 16.1
Point 460 	 Cluster index: 8		Value: 15.9
Point 461 	 Cluster index: 8		Value: 15.6
Point 462 	 Cluster index: 8		Value: 15.55
Point 463 	 Cluster index: 8		Value: 15.35
Point 464 	 Cluster index: 8		Value: 15.15
Point 465 	 Cluster index: 8		Value: 15.5
Point 466 	 Cluster index: 8		Value: 15.7
Point 467 	 Cluster index: 8		Value: 15.7
Point 468 	 Cluster index: 8		Value: 15.75
Point 469 	 Cluster index: 8		Value: 16.05
Point 470 	 Cluster index: 8		Value: 16.05
Point 471 	 Cluster index: 9		Value: 17.0
Point 472 	 Cluster index: 9		Value: 16.7
Point 473 	 Cluster index: 9		Value: 16.25
Point 474 	 Cluster index: 9		Value: 16.35
Point 475 	 Cluster index: 9		Value: 16.75
Point 476 	 Cluster index: 9		Value: 16.25
Point 477 	 Cluster index: 9		Value: 16.2
Point 478 	 Cluster index: 9		Value: 16.35
Point 479 	 Cluster index: 9		Value: 16.2
Point 480 	 Cluster index: 9		Value: 16.55
Point 481 	 Cluster index: 9		Value: 16.95
Point 482 	 Cluster index: 9		Value: 17.05
Point 483 	 Cluster index: 9		Value: 17.3
Point 484 	 Cluster index: 9		Value: 17.3
Point 485 	 Cluster index: 9		Value: 17.05
Point 486 	 Cluster index: 9		Value: 17.25
Point 487 	 Cluster index: 9		Value: 16.65
Point 488 	 Cluster index: 9		Value: 16.55
Point 489 	 Cluster index: 9		Value: 17.2
Point 490 	 Cluster index: 9		Value: 17.05
Point 491 	 Cluster index: 9		Value: 17.4
Point 492 	 Cluster index: 9		Value: 16.6
Point 493 	 Cluster index: 9		Value: 16.6
Point 494 	 Cluster index: 9		Value: 16.7
Point 495 	 Cluster index: 9		Value: 17.5
Point 496 	 Cluster index: 9		Value: 17.15
Point 497 	 Cluster index: 9		Value: 17.05
Point 498 	 Cluster index: 9		Value: 16.4
Point 499 	 Cluster index: 9		Value: 16.5
Point 500 	 Cluster index: 9		Value: 17.25
Point 501 	 Cluster index: 9		Value: 16.95
Point 502 	 Cluster index: 9		Value: 17.35
Point 503 	 Cluster index: 9		Value: 17.55
Point 504 	 Cluster index: 10		Value: 12.8
Point 505 	 Cluster index: 10		Value: 12.6
Point 506 	 Cluster index: 10		Value: 12.8
Point 507 	 Cluster index: 10		Value: 12.8
Point 508 	 Cluster index: 10		Value: 12.8
Point 509 	 Cluster index: 10		Value: 12.65
Point 510 	 Cluster index: 10		Value: 12.75
Point 511 	 Cluster index: 11		Value: 12.4
Point 512 	 Cluster index: 11		Value: 12.35
Point 513 	 Cluster index: 11		Value: 12.35
Point 514 	 Cluster index: 11		Value: 12.45
Point 515 	 Cluster index: 11		Value: 12.35
Point 516 	 Cluster index: 11		Value: 12.4
Point 517 	 Cluster index: 11		Value: 12.4
Point 518 	 Cluster index: 11		Value: 12.55
Point 519 	 Cluster index: 11		Value: 12.4
Point 520 	 Cluster index: 12		Value: 12.3
Point 521 	 Cluster index: 12		Value: 12.2
Point 522 	 Cluster index: 12		Value: 12.05
Point 523 	 Cluster index: 12		Value: 12.3
Point 524 	 Cluster index: 12		Value: 12.15
Point 525 	 Cluster index: 12		Value: 12.25
Point 526 	 Cluster index: 12		Value: 12.15
Point 527 	 Cluster index: 12		Value: 12.25
Point 528 	 Cluster index: 12		Value: 12.15
Point 529 	 Cluster index: 13		Value: 11.85
Point 530 	 Cluster index: 13		Value: 11.7
Point 531 	 Cluster index: 13		Value: 11.6
Point 532 	 Cluster index: 13		Value: 11.9
Point 533 	 Cluster index: 13		Value: 11.9
Point 534 	 Cluster index: 13		Value: 11.7
Point 535 	 Cluster index: 13		Value: 12.0
Point 536 	 Cluster index: 13		Value: 11.95
Point 537 	 Cluster index: 13		Value: 11.75
Point 538 	 Cluster index: 13		Value: 11.85
Point 539 	 Cluster index: 13		Value: 11.8
Point 540 	 Cluster index: 13		Value: 11.95
Point 541 	 Cluster index: 13		Value: 11.75
Point 542 	 Cluster index: 14		Value: 14.9
Point 543 	 Cluster index: 14		Value: 14.45
Point 544 	 Cluster index: 14		Value: 14.5
Point 545 	 Cluster index: 14		Value: 14.3
Point 546 	 Cluster index: 14		Value: 14.8
Point 547 	 Cluster index: 14		Value: 14.45
Point 548 	 Cluster index: 14		Value: 14.3
Point 549 	 Cluster index: 14		Value: 14.85
Point 550 	 Cluster index: 14		Value: 14.25
Point 551 	 Cluster index: 14		Value: 14.25
Point 552 	 Cluster index: 14		Value: 14.3
Point 553 	 Cluster index: 14		Value: 14.3
Point 554 	 Cluster index: 14		Value: 14.65
Point 555 	 Cluster index: 14		Value: 14.35
